,MS SubClass,MS Zoning_string,Lot Frontage,Lot Area,Street_string,Lot Shape_string,Land Contour_string,Utilities_string,Lot Config_string,Land Slope_string,Neighborhood_string,Condition 1_string,Condition 2_string,Bldg Type_string,House Style_string,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style_string,Roof Matl_string,Exterior 1st_string,Exterior 2nd_string,Mas Vnr Type_string,Mas Vnr Area,Exter Qual,Exter Cond,Foundation_string,Bsmt Qual,Bsmt Cond,Bsmt Exposure_string,BsmtFin Type 1_string,BsmtFin SF 1,BsmtFin Type 2_string,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating_string,Heating QC,Central Air_string,Electrical_string,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional_string,Fireplaces,Fireplace Qu_string,Garage Type_string,Garage Yr Blt,Garage Finish_string,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive_string,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC_string,Misc Val,Mo Sold,Yr Sold,Sale Type_string,SalePrice,Remodeled,total_square_feet,Garage_combined
0,60,5,0,13517,1,0,3,0,1,0,22,5,2,0,5,6,8,3904576,4020025,1,1,6,9,1,289,4,3,1,3,3,4,2,533,6,0,192,725,0,5,1,4,725,754,0,1479,0,0,2,1,3,1,4,6,7,0,3,1,3904576,2,2,475,3,3,2,0,44,0,0,0,0,3,0,3,4040100,8,130500,1,2973,33384124800
1,60,5,43,11492,1,0,3,0,1,0,23,2,2,0,5,7,5,3984016,3988009,1,1,12,12,1,132,4,3,2,4,3,4,2,637,6,0,276,913,0,5,1,4,913,1209,0,2122,1,0,2,1,4,1,4,8,7,1,5,1,3988009,2,2,559,3,3,2,0,74,0,0,0,0,3,0,4,4036081,8,220000,1,4022,40127346558
2,20,5,68,7922,1,3,3,0,4,0,15,2,2,0,2,5,7,3814209,4028049,1,1,12,12,2,0,3,4,1,3,3,4,2,731,6,0,326,1057,0,3,1,4,1057,0,0,1057,1,0,1,0,3,1,4,5,7,0,3,5,3814209,3,1,246,3,3,2,0,52,0,0,0,0,3,0,1,4040100,8,109000,1,3223,8444658726
3,60,5,73,9802,1,3,3,0,4,0,26,2,2,0,5,5,5,4024036,4028049,1,1,12,12,2,0,3,3,2,4,3,4,6,0,6,0,384,384,0,4,1,4,744,700,0,1444,0,0,2,1,3,1,3,7,7,0,3,3,4028049,0,2,400,3,3,2,100,0,0,0,0,0,3,0,4,4040100,8,174000,1,2312,29001952800
4,50,5,82,14235,1,0,3,0,4,0,23,2,2,0,0,6,8,3610000,3972049,1,1,13,9,2,0,3,3,2,2,4,4,6,0,6,0,676,676,0,3,1,4,831,614,0,1445,0,0,2,0,3,1,3,6,7,0,3,5,3829849,3,2,484,3,3,0,0,59,0,0,0,0,3,0,3,4040100,8,138500,1,2856,33365644488
5,20,5,137,16492,1,0,3,0,0,0,15,3,2,0,2,6,6,3865156,4008004,1,1,3,9,2,0,4,3,1,3,3,4,0,247,5,713,557,1517,0,5,1,4,1888,0,0,1888,0,0,2,1,2,1,4,6,4,1,2,1,3865156,0,2,578,3,3,2,0,0,0,0,0,0,3,0,6,4040100,8,190000,1,4922,40213083024
6,180,6,35,3675,1,3,3,0,4,0,7,2,2,4,6,6,5,4020025,4024036,1,1,12,12,1,82,3,3,2,4,3,1,2,547,6,0,0,547,0,4,1,4,1072,0,0,1072,1,0,2,0,2,1,3,5,7,0,3,2,4020025,0,2,525,3,3,2,0,44,0,0,0,0,3,0,6,4024036,6,140000,1,2210,37989236250
7,20,5,0,12160,1,0,3,0,4,0,15,2,2,0,2,5,5,3837681,3837681,3,1,9,9,1,180,3,3,1,3,3,4,5,1000,6,0,188,1188,0,2,1,4,1188,0,0,1188,1,0,1,0,3,1,3,6,7,0,3,1,3837681,2,2,531,3,3,2,0,0,0,0,0,0,3,0,5,4040100,0,142000,0,3564,36680554998
8,20,5,0,15783,1,3,3,0,4,0,20,0,2,0,2,5,5,3810304,3810304,1,1,13,13,2,0,3,3,1,3,3,4,5,292,6,0,632,924,0,3,1,4,924,0,0,924,0,0,1,0,2,1,3,6,7,0,3,5,3810304,3,1,420,3,3,2,0,324,0,0,0,0,3,400,6,4028049,8,112500,0,3096,14402949120
9,60,5,70,11606,1,0,1,0,4,2,15,2,2,0,5,5,5,3876961,3876961,1,1,9,9,1,192,3,3,2,4,3,0,5,650,6,0,390,1040,0,3,1,4,1040,1040,0,2080,0,1,1,2,5,1,2,9,7,2,5,1,3876961,3,2,504,3,3,2,335,0,0,0,0,0,3,0,9,4028049,8,135000,0,4495,35171790192
10,160,6,21,1680,1,3,3,0,4,0,2,2,2,3,5,6,5,3884841,3884841,1,1,6,6,1,232,3,3,1,3,3,4,0,387,6,0,96,483,0,3,1,4,483,504,0,987,0,0,1,1,2,1,3,4,7,0,3,5,3884841,3,1,264,3,3,2,0,0,0,0,0,0,3,0,7,4032064,0,85400,0,1953,9230382216
11,20,5,64,7488,1,0,3,0,4,0,5,2,2,0,2,7,5,4020025,4020025,1,1,12,12,2,0,4,3,2,4,3,0,2,393,6,0,815,1208,0,5,1,4,1208,0,0,1208,0,0,2,0,2,1,4,6,7,0,3,1,4020025,2,2,632,3,3,2,105,58,0,0,0,0,3,0,2,4024036,8,183600,0,3787,45731804400
12,70,5,120,26400,1,3,0,0,2,0,23,1,2,0,5,5,7,3534400,4028049,1,1,6,6,2,0,4,3,2,0,0,3,4,0,4,0,0,0,0,5,1,4,1288,728,0,2016,0,0,1,0,4,1,3,7,4,1,5,1,3610000,3,2,576,3,3,1,0,0,0,0,0,0,3,0,6,4036081,8,131000,1,2016,37428480000
13,160,2,24,2645,1,3,3,0,4,0,24,2,2,3,5,8,5,3996001,4000000,1,1,8,8,1,456,4,3,2,4,3,4,2,813,6,0,147,960,0,5,1,4,962,645,0,1607,1,0,2,1,3,1,4,7,7,0,3,5,4000000,3,2,480,3,3,2,169,0,0,0,0,0,3,0,12,4032064,3,200000,1,3696,34560000000
14,20,5,74,9627,1,3,3,0,4,0,5,2,2,0,2,7,5,4028049,4028049,1,1,12,12,2,0,4,3,2,4,3,0,2,24,6,0,1327,1351,0,5,1,4,1361,0,0,1361,0,0,2,0,3,1,4,6,7,0,3,1,4028049,2,2,610,3,3,2,0,50,0,0,0,0,3,0,6,4032064,8,193000,0,4113,44227978020
15,20,5,93,10114,1,3,3,0,4,0,14,2,2,0,2,5,5,4016016,4020025,1,1,12,12,2,0,3,3,2,5,3,0,6,0,6,0,1430,1430,0,5,1,4,1430,0,0,1430,0,0,2,0,3,1,4,7,7,0,3,1,4016016,2,2,624,3,3,2,0,0,0,0,0,0,3,0,3,4040100,8,173500,1,4290,45107891712
16,70,6,34,4571,1,3,3,0,4,0,20,2,2,0,5,5,5,3671056,3802500,1,1,0,0,2,0,3,3,0,3,3,4,6,0,6,0,624,624,0,2,0,4,624,720,0,1344,0,0,1,0,4,1,3,7,7,0,3,5,3671056,3,3,513,2,2,2,0,0,96,0,0,0,3,0,5,4032064,0,98000,1,2592,22599020736
17,20,5,80,8816,1,3,3,0,0,0,22,1,2,0,2,5,6,3853369,3853369,1,1,12,12,2,0,3,3,2,3,3,4,5,651,6,0,470,1121,0,3,1,4,1121,0,0,1121,1,0,1,0,3,1,3,5,7,0,3,5,3853369,3,2,480,3,3,2,0,80,0,0,0,0,3,0,6,4036081,8,139000,0,3443,33293108160
